,COMPANY,TITLE,QUALIFICATIONS
10,Amazon,Senior Software Development Engineer,"candidates must have a bachelor in computer science engineering or related field, or equivalent experience.8+ years professional experience in software development.experience contributing to the architecture and design (architecture, design patterns, reliability and scaling) of new and current systems.. industry experience of architecting and designing scalable systems that interact with multiple systems and are designed for expansion as business grows.possess an extremely sound understanding in the basic areas of computer science such as algorithms, data structures, object oriented design, databases.knowledge of professional software engineering practices & best practices for the full software development life cycle, including coding standards, code reviews, source control management, build processes, testing, and operationsexperience building complex and large scale software systems using aws technologies that have been successfully delivered to customersexperience in communicating with users, other technical teams, and management to collect requirements, describe software product features, and technical designs, and remove bottlenecks for the tech teams throughout the sdlc."
11,Amazon,Software Engineer,"1+ years of experience contributing to the system design or architecture (architecture, design patterns, reliability and scaling) of new and current systems.2+ years of non-internship professional software development experienceprogramming experience with at least one software programming language.. ms or phd in computer science or related fieldknowledge of professional software engineering practices & best practices for the full software development life cycle, including coding standards, code reviews, source control management, build processes, testing, and operations.understanding of ci/cd and agile software engineering practicesbackground in support for large scale application implementations.experience with distributed computing and enterprise-wide systemsexperience mentoring software engineersstrong sense of ownership and driveexcellent written and verbal communication, analytical and collaborative problem-solving skillscomfortable working across multiple teams and organizations"
12,Amazon,Software Development Engineer - Agency,"past experience in being a technical leader and have previous track record in delivering large scale solutions in a very ambiguous environmentmust be able to understand and evaluate critical applications from end-to-end and evaluate high level and low-level design.must be an active contributor on teams technical strategy and account for technical tradeoffs that can impact existing applications as well as other applications within amazon.bachelor’s degree in computer science, computer engineering or a related technical discipline.5+ years of software development experience.strong proficiency in at least one modern oo programming language such as c, c++, c#, java.strong object oriented design and familiarity with application and database programming under unix/linux.experience with agile/lean (kanban, scrum, rup, xp), oo modeling, web services, unix, middleware, database and data mining systems.experience mentoring and training the engineering community on complex technical issues.. master’s degree in computer science, math or physics or related field.experience building complex software systems that have been successfully delivered to customers.a high degree of pragmatism in building the simplest thing that does the job; we want to use technology to solve real-world problems expediently, not indulge in over-designed, unnecessarily intricate software architecture.a willingness to dive deep, experiment rapidly and get things done.a good understanding of sdlc models and a track record of shipping software efficiently. you recognize the difference between building software and shipping software.exceptional customer relationship skills including the ability to discover the true requirements underlying feature requests, recommend alternative technical and business approaches, and lead engineering efforts to meet aggressive timelines with optimal solutions.a strong track record of project delivery for large, cross-functional, projects.deep hands-on technical expertise, excellent verbal and written communication skills.sharp analytical abilities and proven design skills"
13,Amazon,"Software Development Engineer, Intech ","past experience in being a technical leader and have previous track record in delivering large scale solutions in a very ambiguous environmentmust be able to understand and evaluate critical applications from end-to-end and evaluate high level and low-level design.must be an active contributor on teams technical strategy and account for technical tradeoffs that can impact existing applications as well as other applications within amazon.3+ years of software development experience.strong proficiency in at least one modern oo programming language such as c, c++, c#, java, python, ruby, javascript, and other.strong object oriented design and familiarity with application and database programming under unix/linux.experience with agile/lean (kanban, scrum, rup, xp), oo modeling, web services, unix, middleware, database and data mining systems.experience mentoring and training the engineering community on complex technical issues.. master’s or bachelor's degree in computer science, math or physics or related field.experience building complex software systems that have been successfully delivered to customers.a high degree of pragmatism in building the simplest thing that does the job; we want to use technology to solve real-world problems expediently, not indulge in over-designed, unnecessarily intricate software architecture.a willingness to dive deep, experiment rapidly and get things done.a good understanding of sdlc models and a track record of shipping software efficiently. you recognize the difference between building software and shipping software.exceptional customer relationship skills including the ability to discover the true requirements underlying feature requests, recommend alternative technical and business approaches, and lead engineering efforts to meet aggressive timelines with optimal solutions.a strong track record of project delivery for large, cross-functional, projects.deep hands-on technical expertise, excellent verbal and written communication skills.sharp analytical abilities and proven design skills"
14,Amazon,Software Development Engineer,"1+ years of experience contributing to the system design or architecture (architecture, design patterns, reliability and scaling) of new and current systems.2+ years of non-internship professional software development experienceprogramming experience with at least one software programming language.. experience building complex software systems successfully delivered to customersknowledge of professional software engineering practices and best practices for the full software development lifecycle, including coding standards, code reviews, source control management, build processes, testing, and operationswrite high quality code that is robust and easy to maintainunderstanding of system performance and scalingability to take a project from scoping requirements through actual launch of the projectpossess good communication skills, sharp analytical abilities, and proven design skillsexperience in communicating with users, other technical teams, and management to collect requirements, describe software product features and technical designsexperience debugging, diagnosing, and trouble-shooting complex, production software is a plusexperience writing multi-threaded programs requiring concurrency and synchronization primitives is a plusexperience delivering and operating large scale, highly available distributed systems is a plusmasters or phd in computer science preferred"
15,Amazon,Software Development Engineer,"programming experience with at least one modern language such as java, c++, or c# including object-oriented design1+ years of experience contributing to the architecture and design (architecture, design patterns, reliability and scaling) of new and current systems.2+ years of non-internship professional software development experience. experience building complex software systems that have been successfully delivered to customersknowledge of professional software engineering practices and best practices for the full software development lifecycle, including coding standards, code reviews, source control management, build processes, testing, and operationsability to take a project from scoping requirements through actual launch of the projectexperience in communicating with users, other technical teams, and management to collect requirements, describe software product features, and technical designs."
16,Amazon,Software Development Engineer - FinTech,"· programming experience with at least one modern language such as java, c++, or c# including object-oriented design· 1+ years of experience contributing to the architecture and design (architecture, design patterns, reliability and scaling) of new and current systems.· 2+ years of non-internship professional software development experience· programming experience with at least one modern language such as java, c++, or c# including object-oriented design. 4-9 years of experience contributing to the architecture and design (architecture, design patterns, reliability and scaling) of new and current systems.· 4+ years of non-internship professional software development experienceproficiency in java in a linux/unix environment. experience with c, c++; experience using sql· experience building complex software systems that have been successfully delivered to customers· knowledge of professional software engineering practices & best practices for the full software development life cycle, including coding standards, code reviews, source control management, build processes, testing, and operations· ability to take a project from scoping requirements through launch· experience in communicating with users, other technical teams, and management to collect requirements, describe software product features, and technical designs· experience mentoring junior software engineers to improve their skills, and make them more effective· experience influencing software engineering best practices within your team· hands-on expertise in many disparate technologies, typically ranging from front-end user interfaces through to back-end systems and all points in between"
17,Amazon,"Sr. Embedded Software Development Engineer, Satellite Simulation, GNC Software","4+ years of professional software development experience3+ years of programming experience with at least one software programming language2+ years of experience contributing to the system design or architecture (architecture, design patterns, reliability and scaling) of new and current systemsexperience as a mentor, tech lead or leading an engineering team. master’s or advanced degree in computer science, computer engineering or related technical discipline.familiarity with interdisciplinary developments that involve hardware, software, and algorithm co-design and verification.expertise in real-time operating systems, embedded linux with real-time extensions, systems programming, concurrency, and scheduling.expertise building, testing, and verifying real-time or safety-critical systems.experience with sensors, actuators, embedded vehicle electronics/avionics, and/or control systems.experience with simulation in various contexts: hardware-in-the-loop, monte-carlo, emulators.experience with operating remotely deployed systems in extreme environments.experience supporting infrastructure and tool development for scientific/engineering users.experience in building or leading strong engineering teams, including hiring and growing software engineers.independent and entrepreneurial, showing the ability to work with minimal direction.excellent interpersonal and written communication skills."
18,Amazon,Software Engineer,"programming experience with at least one modern language such as java, c++, or c# including object-oriented design1+ years of experience contributing to the architecture and design (architecture, design patterns, reliability and scaling) of new and current systems.2+ years of non-internship professional software development experience. · experience building complex software systems that have been successfully delivered to customers· knowledge of professional software engineering practices & best practices for the full software development life cycle, including coding standards, code reviews, source control management, build processes, testing, and operations· ability to take a project from scoping requirements through actual launch of the project· experience in communicating with users, other technical teams, and management to collect requirements, describe software product features, and technical designs.· "
19,Amazon,Software Dev Engineer II,"must be able to understand and evaluate critical applications from end-to-end and evaluate high level and low-level design.must be an active contributor on teams technical strategy and account for technical tradeoffs that can impact existing applications as well as other applications within amazon.2+ years of software development experience.strong proficiency in at least one modern oo programming language such as c, c++, c#, java, python, ruby, golang and others.experience with agile/lean (kanban, scrum, rup, xp), oo modeling, web services, unix, middleware, database and data mining systems.. bachelor’s degree in computer science, computer engineering or a related technical discipline.experience building complex software systems that have been successfully delivered to customers.a high degree of pragmatism in building the simplest thing that does the job; we want to use technology to solve real-world problems expediently, not indulge in over-designed, unnecessarily intricate software architecture.a good understanding of sdlc models and a track record of shipping software efficiently. you recognize the difference between building software and shipping software.exceptional customer relationship skills including the ability to discover the true requirements underlying feature requests, recommend alternative technical and business approaches, and lead engineering efforts to meet aggressive timelines with optimal solutions."
20,Amazon,Software Developer Engineer II,"must be able to understand and evaluate critical applications from end-to-end and evaluate high level and low-level design.must be an active contributor on teams technical strategy and account for technical tradeoffs that can impact existing applications as well as other applications within amazon.2+ years of software development experience.strong proficiency in at least one modern oo programming language such as c, c++, c#, java, phyton, ruby, golang, and others.experience with agile/lean (kanban, scrum, rup, xp), oo modeling, web services, unix, middleware, database and data mining systems.. bachelor’s degree in computer science, computer engineering or a related technical discipline.experience building complex software systems that have been successfully delivered to customers.a high degree of pragmatism in building the simplest thing that does the job; we want to use technology to solve real-world problems expediently, not indulge in over-designed, unnecessarily intricate software architecture.a good understanding of sdlc models and a track record of shipping software efficiently. you recognize the difference between building software and shipping software.exceptional customer relationship skills including the ability to discover the true requirements underlying feature requests, recommend alternative technical and business approaches, and lead engineering efforts to meet aggressive timelines with optimal solutions."
21,Amazon,"Embedded Software Development Engineer, Satellite Simulation, GNC Software","1+ years of experience contributing to the system design or architecture (architecture, design patterns, reliability and scaling) of new and current systems.2+ years of non-internship professional software development experienceprogramming experience with at least one software programming language.. master’s or advanced degree in computer science, computer engineering or related technical discipline.familiarity with interdisciplinary developments that involve hardware, software, and algorithm co-design and verification.expertise in real-time operating systems, embedded linux with real-time extensions, systems programming, concurrency, and scheduling.familiarity with building, testing, and verifying real-time or safety-critical systems.experience with sensors, actuators, embedded vehicle electronics/avionics, and/or control systems.experience with simulation in various contexts: hardware-in-the-loop, monte-carlo, emulators.experience with operating remotely deployed systems in extreme environments.experience supporting infrastructure and tool development for scientific/engineering users.experience in building or leading strong engineering teams, including hiring and growing software engineers.independent and entrepreneurial, showing the ability to work with minimal direction.excellent interpersonal and written communication skills."
22,Amazon,"Software Development Engineer, Finance Technology","must be able to understand and evaluate critical applications from end-to-end and evaluate component design using oop.3 to 8 years of software development experience.strong proficiency in at least one modern oo programming language such as c, c++, c#, java.strong object oriented design and familiarity with application and database programming under unix/linux.experience with agile/lean (kanban, scrum, rup, xp), oo modeling, web services, unix, middleware, database and data mining systems.experience mentoring and training the engineering community on complex technical issues.. bachelors or master’s degree in computer science, math or physics or related field.experience building complex software systems that have been successfully delivered to customers.a high degree of pragmatism in building the simplest thing that does the job; we want to use technology to solve real-world problems expediently, not indulge in over-designed, unnecessarily intricate software architecture.a willingness to dive deep, experiment rapidly and get things done.a good understanding of sdlc models and a track record of shipping software efficiently. you recognize the difference between building software and shipping software.exceptional customer relationship skills including the ability to discover the true requirements underlying feature requests, recommend alternative technical and business approaches, and lead engineering efforts to meet aggressive timelines with optimal solutions.a strong track record of project delivery for large, cross-functional, projects.deep hands-on technical expertise, excellent verbal and written communication skills.sharp analytical abilities and proven design skills"
23,Amazon,Software Development Engineer,"english language proficiency (technical/advanced level).experience in at least one of these programming languages: java, c, c ++, c #, go, python, kotlin, scala, swift or ruby;experience in defining systems architecture;skills in programming, data structures, algorithms, object-oriented design and design for performance, scalability, availability, and fundamentals of internet security and operating systems.must be able to understand and evaluate critical applications from end-to-end and evaluate high level and low-level design.2+ years of full time software development experience (not internship).. bachelor’s degree in computer science, computer engineering or a related technical discipline.knowledge in professional software engineering practices and best practices for the entire software development lifecycle, including outcome patterns, code criteria, version control, build processes, testing, and operations, including.experience of participating in a project from scope requirements to launch;experience in communicating with users, other technical and management teams to collect requirements, software product feature descriptions, technical projects and product strategy.active contributor on teams technical strategy and account for technical tradeoffs that can impact existing applications as well as other applications within amazon.experience mentoring and training the engineering community on complex technical issues.a willingness to dive deep, experiment rapidly and get things done."
24,Amazon,Software Development Engineer II,"english language proficiency (technical/advanced level).experience in at least one of these programming languages: java, c, c ++, c #, go, python, kotlin, scala, swift or ruby;experience in defining systems architecture;skills in programming, data structures, algorithms, object-oriented design and design for performance, scalability, availability, and fundamentals of internet security and operating systems.must be able to understand and evaluate critical applications from end-to-end and evaluate high level and low-level design.2+ years of full time software development experience (not internship).. bachelor’s degree in computer science, computer engineering or a related technical discipline.knowledge in professional software engineering practices and best practices for the entire software development lifecycle, including outcome patterns, code criteria, version control, build processes, testing, and operations, including.experience of participating in a project from scope requirements to launch;experience in communicating with users, other technical and management teams to collect requirements, software product feature descriptions, technical projects and product strategy.active contributor on teams technical strategy and account for technical tradeoffs that can impact existing applications as well as other applications within amazon.experience mentoring and training the engineering community on complex technical issues.a willingness to dive deep, experiment rapidly and get things done."
25,Amazon,Software Development Engineer,"2+ years of non-internship professional software development experienceprogramming experience with at least one modern language such as java, c++, or c# including object-oriented design1+ years of experience contributing to the architecture and design (architecture, design patterns, reliability and scaling) of new and current systems.. experience building complex software systems that have been successfully delivered to customersknowledge of professional software engineering practices and best practices for the full software development lifecycle, including coding standards, code reviews, source control management, build processes, testing, and operationsability to take a project from scoping requirements through actual launch of the projectexperience in communicating with users, other technical teams, and management to collect requirements, describe software product features, and technical designs."
26,Amazon,Software Engineer,"you have: • willingness to try new things and work with a diverse group of people• bachelor's degree in computer science or related field or equivalent industry experience as a software engineer• a foundation in data structures and algorithms. familiarity with scalability, concurrency, api design, data modeling, and distributed systems fundamentals. bonus points• familiarity with aws infrastructure• experience with email / notifications technologies• experience writing go in production systems"
27,Amazon,"Software Developer Engineer, INTech","previous track record in delivering large scale solutions in a very ambiguous environmentmust be able to understand and evaluate critical applications from end-to-end and evaluate high level and low-level design.must be an active contributor on teams technical strategy and account for technical tradeoffs that can impact existing applications as well as other applications within amazon.3+ years of software development experience.proficiency in at least one modern oo programming language such as c, c++, c#, java, python, golang, javascript.strong object oriented design and familiarity with application and database programming under unix/linux.experience with agile/lean (kanban, scrum, rup, xp), oo modeling, web services, unix, middleware, database and data mining systems.. bachelor’s degree in computer science, computer engineering or a related technical discipline, or master’s degree in computer science, math or physics or related field.experience building complex software systems that have been successfully delivered to customers.a good understanding of sdlc models and a track record of shipping software efficiently. you recognize the difference between building software and shipping software.customer relationship skills including the ability to discover the true requirements underlying feature requests, recommend alternative technical and business approaches, and lead engineering efforts to meet aggressive timelines with optimal solutions.a strong track record of project delivery for large, cross-functional, projects.deep hands-on technical expertise, excellent verbal and written communication skills.sharp analytical abilities and proven design skillsexperience mentoring and training the engineering community on complex technical issues."
28,Amazon,Software Development Engineer,"2+ years of non-internship professional software development experienceprogramming experience with at least one modern language such as java, c++, or c# including object-oriented design1+ years of experience contributing to the architecture and design (architecture, design patterns, reliability and scaling) of new and current systems.. programming experience in java and frameworks such as jee/spring/hibernateadvanced sql knowledgeknowledge of professional software engineering practices & best practices for the full software development life cycle, including coding standards, code reviews, source control management, build processes, testing, and operationsability to learn new languages and technologies quicklyexperience in communicating with business teams, other development teams, and management to collect requirements, describe software product features, and technical designsknowledge of aws/cloud technologies"
29,Amazon,Software Development Engineer,"bachelor or master in computer sciencesolid professional experience in software developmentadvocate for solutions to technical challenges, articulating schedule/risk/quality trade-offscollaborate across disciplines for positive, productive teamworkdemonstrated ability to go the extra mile to do things right and fastparticipate in design and architecture sessions with other senior technical leadsproduce quality, innovative, debuggable, testable and maintainable codelearn new things, fail fast, and explore new coding territory. programming experience in java and frameworks such as jee/spring/hibernateadvanced sql knowledgeknowledge of professional software engineering practices & best practices for the full software development life cycle, including coding standards, code reviews, source control management, build processes, testing, and operationsability to learn new languages and technologies quicklyexperience in communicating with business teams, other development teams, and management to collect requirements, describe software product features, and technical designsknowledge of aws/cloud technologies"
30,Amazon,Sr Software Development Engineer,"2+ years of experience contributing to the architecture and design (architecture, design patterns, reliability and scaling) of new and current systems3+ years of programming experience with at least one modern language such as java, c++, or c# including object-oriented design4+ years of professional software development experience2+ years of experience as a mentor, tech lead or leading an engineering team. preferred qualifications:"
31,Amazon,"Software Developer Engineer I, Intech ","must be able to understand and evaluate critical applications from end-to-end and evaluate component design using oop.0 to 3 years of software development experience.strong proficiency in at least one modern oo programming language such as c, c++, c#, java, python, ruby, golang, and others.strong object oriented design and familiarity with application and database programming under unix/linux.experience with agile/lean (kanban, scrum, rup, xp), oo modeling, web services, unix, middleware, database and data mining systems.experience mentoring and training the engineering community on complex technical issues.. master’s or bachelor's degree in computer science, math or physics or related field.experience building complex software systems that have been successfully delivered to customers.a high degree of pragmatism in building the simplest thing that does the job; we want to use technology to solve real-world problems expediently, not indulge in over-designed, unnecessarily intricate software architecture.a willingness to dive deep, experiment rapidly and get things done.a good understanding of sdlc models and a track record of shipping software efficiently. you recognize the difference between building software and shipping software.exceptional customer relationship skills including the ability to discover the true requirements underlying feature requests, recommend alternative technical and business approaches, and lead engineering efforts to meet aggressive timelines with optimal solutions.a strong track record of project delivery for large, cross-functional, projects.deep hands-on technical expertise, excellent verbal and written communication skills.sharp analytical abilities and proven design skills"
