,Category,Company,job_title,job_desc
11,Marketing,Walmart,"(USA) Manager, Digital Media - Partner Marketing","Bachelor’s degree in Marketing, Business, or related field and 2 years’ experience in marketing or related field OR 4 years’ experience in marketing or related field. "
12,Marketing,Walmart,"Manager, Digital Media/Creator Marketing","Bachelor’s degree in Marketing, Business, or related field and 2 years’ experience in marketing or related field OR 4 years’ experience in marketing or related field. "
13,Marketing,Walmart,"Associate Director, Marketing Planning And Strategy - Healthcare"," Bachelor's degree in Business, Marketing, Communications, or related field and 3 years' experience in marketing or related field OR 7 years'experience in marketing or related field. Leading cross-functional projects, Marketing or related field, Supervisory experienceMasters: Business Administration"
14,Marketing,Walmart,"Senior Manager, Digital Media/Creator Marketing"," Bachelor’s degree in Marketing, Business, or related field and 3 years’ experience in marketing or related field OR 5 years’ experience in marketing or related field. Digital marketing (for example, affiliate marketing, display advertising), Leading a cross-functional team"
15,Marketing,Walmart,"Marketing Manager, Online Media, Site - WEC","Bachelor’s degree in Business, Behavioral Science, or related field and 2 years experience in digital media or related field OR 5 years experience in digital media or related field. Contracts Negotiation, Managing website or online tool development, Product Management, Supervising AssociatesMasters: Business Administration"
16,Marketing,Walmart,"Senior Manager II, Marketing Design, eComm","Bachelor’s degree in Graphic Design, Interaction Design or related field and 4 years’ experience in professional design, including print andconsumer packaged goods experience, or related area OR 6 years’ experience in professional design, including print and CPG experience, orrelated area. Brand building, Identity design, Print and packaging, Retail Experience, With Microsoft Office suite, Photoshop, Illustrator, InDesign, and Acrobat"
17,Marketing,Walmart,"Associate Director, Marketing Planning and Strategy (CA) - Financial Services","Bachelor's degree in Business, Marketing, Communications, or related field and 4 years' experience in marketing or related field OR 6 years' experience in marketing or related field. Supervising AssociatesMasters: Business Administration"
18,Marketing,Walmart,"(USA) Manager, Digital Media - Event Marketing - Seller Acquisition","Bachelor’s degree in Marketing, Business, or related field and 2 years’ experience in marketing or related field OR 4 years’ experience in marketing or related field. "
19,Marketing,Walmart,"(USA) Manager, Marketing Planning And Strategy (Omni Capabilities Innovation)"," Bachelor's degree in Business, Marketing, Communications, or related field and 1 year's experience in marketing or related field OR 5 years'experience in marketing or related field. Marketing or related fieldMasters: Business Administration"
20,Marketing,Walmart,"Manager, Digital Media - Seller Acquisition - Affiliate and Influencer Marketing","Bachelor’s degree in Marketing, Business, or related field and 2 years’ experience in marketing or related field OR 4 years’ experience in marketing or related field. "
21,Marketing,Walmart,"Senior Manager, Marketing Planning and Strategy (HO) - Brand Partnerships"," Bachelor's degree in Business, Marketing, Communications, or related field and 2 years' experience in marketing or related field OR 7 years' experience in marketing or related field. MarketingMasters: Business Administration"
22,Marketing,Walmart,"(USA) Senior Manager, Marketing Planning and Strategy (HO) - Private Brand Management"," Bachelor's degree in Business, Marketing, Communications, or related field and 2 years' experience in marketing or related field OR 7 years' experience in marketing or related field. MarketingMasters: Business Administration"
23,Marketing,Walmart,"(USA) Associate Director, Advertising (Integrated Marketing Communications)"," Bachelor’s degree in Marketing, Advertising, or related field and 5 years’ experience in advertising, marketing communications, or related field OR 9 years’ experience in advertising, marketing communications, or related field. Creative experience managing integrated marketing campaigns, television advertising, Developing and gaining stakeholder buy-in for creative concepts and programs within a matrix organization, Managing cross-functional teams in a retail creative environment, Working for a creative agencyMasters: Advertising, Masters: Business, Masters: Marketing"
24,Marketing,Walmart,"Associate Manager, Digital Media, eComm Marketing - Conversational Commerce"," Option 1: Bachelor’s Degree in Marketing, Business Administration, or related field. Option 2: 4 years’ experience in Marketing, Business Administration, or related field. Working on cross-functional teams or projects"
25,Marketing,Walmart,"(USA) Associate Director, Marketing Planning and Strategy (CA)"," Bachelor's degree in Business, Marketing, Communications, or related field and 3 years' experience in marketing or related field OR 7 years'experience in marketing or related field. Leading cross-functional projects, Marketing or related field, Supervisory experienceMasters: Business Administration"
26,Marketing,Walmart,"Associate Manager, Digital Media, eComm (Marketing Operations Analyst | Conversational Commerce)","Bachelor’s degree in Marketing, Business, or related field OR 2 years’ experience in marketing or related field. Working on cross-functional teams or projects"
27,Marketing,Walmart,"Director, Marketing - Sam's Club (Social Media)","Bachelor’s degree in Business or related field and 5 years' experience in Marketing or related field OR 7 years' experience in Retail Marketing or related field. 3 years' of supervisory experience. Consumer Packaged Goods (CPG), MarketingMasters: Business Administration"
28,Marketing,Walmart,"Programmatic Media Buyer, Walmart Connect (Associate Manager, Marketing Operations - eComm)"," Bachelor's degree in Business, Marketing, or related field OR 2 years' experience in business management, database management, or relatedfield. Marketing, Microsoft Office tools (for example, Word, Excel, and PowerPoint)"
29,Marketing,Walmart,Principal Product Manager - Affiliate Marketing," Option 1: Bachelor’s degree in computer science, engineering, or related area and 9 years’ experience in product management. Option 2: 11 years’ experience in product management or related area. Master’s degree in Computer Science, Engineering, Business Administration, or related area and 8 years’ experience as a product manager, ideally working on consumer-facing, large-scale, highly complex B2B/C products, Supervisory experienceMasters: Business Administration, Masters: Computer Engineering, Masters: Computer Science"
30,Marketing,Walmart,"Senior Director I, Finance – Marketing","Bachelor’s degree in Finance, Accounting, or related field and 6 years’ experience in accounting, finance, or related area OR 8 years’ experience in accounting, finance, or related area. 3 years’ supervisory experience. 3 years’ experience leading and completing cross-functional projects. Strategic Planning, Working in a large corporate environment, agency, or headquarters, Working in a matrixed organizationMasters: Business AdministrationFinancial & Insurance - Certified Public Accountant - Certification"
31,Marketing,Walmart,Emerging Market Manager - WM Stores,"5 years experience supervising Management Associates OR 3 years experience as a Store Manager OR 5 years supervising managers who have P&L responsibility and make employment decisions. Effective January 26, 2019 - associates will be required to successfully complete all job required trainings and assessments Valid driver’s license. Facility Maintenance, Managing Fuel or Convenience Store, Retail Management, Retail OperationsBachelors: Arts, Bachelors: Science"
32,Marketing,Walmart,"(USA) Emerging Market Manager, Neighborhood Market - WM Stores","5 years experience supervising Management Associates OR 3 years experience as a Store Manager OR 5 years supervising managers who have P&L responsibility and make employment decisions. Effective January 26, 2019 - associates will be required to successfully complete all job required trainings and assessments Valid driver’s license. Facility Maintenance, Managing Fuel or Convenience Store, Retail Management, Retail OperationsBachelors: Arts, Bachelors: Science"
33,Marketing,Walmart,"Consumables or Home & Hardlines, Client Solutions - Category Strategist (MULTIPLE OPENINGS) Manager, Marketing Planning and Strategy"," Bachelor's degree in Business, Marketing, Communications, or related field and 1 year's experience in marketing or related field OR 5 years' experience in marketing or related field. MarketingMasters: Business Administration"
34,Marketing,Walmart,"Associate Manager, Client Solutions – Category Strategy for Health & Wellness (Associate Manager, Marketing Operations - eComm)"," Bachelor's degree in Business, Marketing, or related field OR 2 years' experience in business management, database management, or relatedfield. Marketing, Microsoft Office tools (for example, Word, Excel, and PowerPoint)"
35,Marketing,Walmart,(USA) Emerging Market Manager - WM Stores,"5 years experience supervising Management Associates OR 3 years experience as a Store Manager OR 5 years supervising managers who have P&L responsibility and make employment decisions. Effective January 26, 2019 - associates will be required to successfully complete all job required trainings and assessments Valid driver’s license. Facility Maintenance, Managing Fuel or Convenience Store, Retail Management, Retail OperationsBachelors: Arts, Bachelors: Science"
36,Marketing,Walmart,"Market Manager, Supercenter - Wm Stores - Jackson Michigan","5 years experience supervising Management Associates OR 3 years experience as a Store Manager OR 5 years supervising managers who have P&L responsibility and make employment decisions. Effective January 26, 2019 - associates will be required to successfully complete all job required trainings and assessments Valid driver’s license. Facility Maintenance, Managing Fuel or Convenience Store, Retail Management, Retail OperationsBachelors: Arts, Bachelors: Science"
37,Marketing,Walmart,"(USA) Senior Management II, Product Management - Product Marketing"," Option 1: Bachelor’s degree in computer science, engineering, or related area and 9 years’ experience in product management. Option 2: 11 years’ experience in product management or related area. Master’s degree in Computer Science, Engineering, Business Administration, or related area and 8 years’ experience as a product manager, ideally working on consumer-facing, large-scale, highly complex B2B/C products, Supervisory experienceMasters: Business Administration, Masters: Computer Engineering, Masters: Computer Science"
38,Marketing,Walmart,"Product Marketing Copywriter - Manager II, Communications, Ecomm - Data Ventures"," Bachelor’s degree in Communications, Journalism, Business, or related field and 2 years’ experience in communications, journalism, business, orrelevant area OR 4 years’ experience in communications, journalism, business, or related area. Managing communication projects, Supervisory experience"
39,Marketing,Walmart,"Senior Manager II, Business Analysis and Insights H&W - Market Strategy","Bachelor’s degree in Business, Analytics, Statistics, or related field and 4 years’ experience in data analytics, project management, business, or related area OR 6 years’ experience in data analytics, project management, business, or related area.  2 years’ experience using intermediate functionality of Microsoft Office. Statistical Programming Language, Supervising Associates, Working on cross-functional teams or projectsMasters: Business AdministrationProject Management - Project Management Professional - Certification, Six Sigma Black Belt - Certification, Six Sigma Green Belt - Certification"
40,Marketing,Walmart,"Guide - Bonobos (Market Street, The Woodlands)"," 2 - 5 years of sales experience in traditional retail or relevant sales experience, As permitted by applicable law, provide evidence of full vaccination as defined by CDC guidelines OR secure approval of medical or religious accommodation for the vaccination mandate. "
41,Marketing,Walmart,"Store Manager, Complex Store, Neighborhood Market - Wm Stores Management"," 4 years general management experience to include financial accountability4 years experience supervising 50 or more exempt and non-exempt associates/employees to include the responsibility of performancemanagement, mentoring, hiring, and firingFor facilities that sell firearms, I acknowledge that the position for which I am applying will require successful completion of a firearms- specificCriminal Background Check (CBC) and Firearms Authorized Training.For facilities that sell only ammunition and have state specific requirements, I acknowledge that the position for which I am applying may require acurrent state issued Certificate of Eligibility.Effective January 26, 2019 - associates will be required to successfully complete all job required trainings and assessmentsAssociates will be required to attend and successfully complete all job-required trainings and assessments (for example, Academy trainings, OpenDoor trainings, etc.). Bachelor of Science in Business Management and Leadership through Live Better U and Bellevue University, Running a fresh or dry grocery area"
42,Marketing,Walmart,"Manager II, eComm, Go-to-Market Strategy, Walmart GoLocal,","Bachelor’s degree in Business Administration, Engineering, Operations , or related field and 2 years’ experience in operations, project management, or related area OR 4 years’ experience in operations, project management, or related area. Supervising AssociatesMasters: EconomicsProject Management - Project Management Professional - Certification"
43,Marketing,Walmart,"Store Manager, Complex Store, Neighborhood Market - Wm Stores","4 years general management experience to include financial accountability 4 years experience supervising 50 or more exempt and non-exempt associates/employees to include the responsibility of performance management, mentoring, hiring, and firing For facilities that sell firearms, I acknowledge that the position for which I am applying will require successful completion of a firearms- specific Criminal Background Check (CBC) and Firearms Authorized Training. For facilities that sell only ammunition and have state specific requirements, I acknowledge that the position for which I am applying may require a current state issued Certificate of Eligibility. Effective January 26, 2019 - associates will be required to successfully complete all job required trainings and assessments Food - Fresh Food Inventory Management"
44,Marketing,Walmart,"Manager, Digital Media - CRM (Store No. 8)","Bachelor’s degree in Marketing, Business, or related field and 2 years’ experience in marketing or related field OR 4 years’ experience in marketing or related field. "
45,Marketing,Walmart,"Partner Manager, Walmart Connect"," Bachelor’s degree in Marketing, Business, Advertising, Consumer Psychology, or related field and 5 years' experience advertising sales, advertising, sales, or related field OR 8 years' experience advertising sales, advertising, sales, or related field. Brand advertising (for example, TV or video, sponsorship), media sales, customer acquisition and growth, search, mobile and online sales, Managing client accounts, Shopper marketing sales, eCommerce sales, retail advertising sales, search, Strategic Advisor working with C-Level ClientsMasters: Advertising, Masters: Business, Masters: Marketing, Masters: Psychology"
46,Marketing,Walmart,"Senior Manager I, Advertising Sales - Partner Manager, Walmart Connect (Food)"," Bachelor’s degree in Marketing, Business, Advertising, Consumer Psychology, or related field and 5 years' experience advertising sales, advertising, sales, or related field OR 8 years' experience advertising sales, advertising, sales, or related field. Brand advertising (for example, TV or video, sponsorship), media sales, customer acquisition and growth, search, mobile and online sales, Managing client accounts, Shopper marketing sales, eCommerce sales, retail advertising sales, search, Strategic Advisor working with C-Level ClientsMasters: Advertising, Masters: Business, Masters: Marketing, Masters: Psychology"
47,Marketing,Walmart,"(USA) Manager, Digital Media/Walmart Creator Social Moderation & Brand Safety","Bachelor’s degree in Marketing, Business, or related field and 2 years’ experience in marketing or related field OR 4 years’ experience in marketing or related field. "
48,Marketing,Walmart,"Associate Manager, Creative (HO) - Specialty Brands"," Bachelor’s degree in Design, Marketing, Creative Writing, Advertising, Fine Arts, or related field and 1 year's experience in interactive design,editorial content management, or related field OR 3 years' experience in interactive design, editorial content management, or related field. Content Management Systems, Managing interactive projects in an online creative or related digital field, Working for or with creative agencies, Working with Design Software (For example, Adobe Creative Suite), including proficiency in advanced functions (For example, multi-layer masking and compositing)"
49,Marketing,Walmart,"Manager, Digital Media - Seller Acquisition","Bachelor’s degree in Marketing, Business, or related field and 2 years’ experience in marketing or related field OR 4 years’ experience in marketing or related field. "
50,Marketing,Walmart,"Manager, Digital Media","Bachelor’s degree in Marketing, Business, or related field and 2 years’ experience in marketing or related field OR 4 years’ experience in marketing or related field. "
51,Marketing,Walmart,"(USA) Director, Creative (CA)"," Bachelor’s degree in Design, Marketing, Creative Writing, Advertising, Fine Arts, or related field and 7 years' experience leading creative teams OR 9 years' experience leading creative teams. Managing Brand Initiatives for Product Launches, Managing Budgets, Including Budget Forecasting and Reporting Financials, Managing cross-functional teams in a retail creative environment, Managing large scale interactive campaigns in an online creative or related digital field, Managing Vendor Contracts and Relationships, Working for or with creative agencies"
52,Marketing,Walmart,"Senior Manager, Digital Media"," Bachelor’s degree in Marketing, Business, or related field and 3 years’ experience in marketing or related field OR 5 years’ experience in marketing or related field. Digital marketing (for example, affiliate marketing, display advertising), Leading a cross-functional team"
53,Marketing,Walmart,"Team Lead, Walmart Connect"," Bachelor’s degree in Marketing, Business, Advertising, Consumer Psychology, or related field and 6 years' experience advertising sales, advertising, sales, or related field OR 9 years' experience advertising sales, advertising, sales, or related field. Brand advertising (for example, TV or video, sponsorship), media sales, customer acquisition and growth, search, mobile and online sales, Brand management, brand development, brand marketing, or brand investment, Managing high performing teams, Self-service platforms, API knowledge, SAAS, search, programmatic, API-based selling, or auction-platform dynamics, Strategic Advisor working with C-Level ClientsMasters: Advertising, Masters: Business, Masters: Marketing, Masters: Psychology"
54,Marketing,Walmart,"Senior Manager I, Advertising Sales: Partner Manager, WMC (Home & Hardlines)"," Bachelor’s degree in Marketing, Business, Advertising, Consumer Psychology, or related field and 5 years' experience advertising sales, advertising, sales, or related field OR 8 years' experience advertising sales, advertising, sales, or related field. Brand advertising (for example, TV or video, sponsorship), media sales, customer acquisition and growth, search, mobile and online sales, Managing client accounts, Shopper marketing sales, eCommerce sales, retail advertising sales, search, Strategic Advisor working with C-Level ClientsMasters: Advertising, Masters: Business, Masters: Marketing, Masters: Psychology"
55,Marketing,Walmart,"(USA) Senior Manager I, Advertising Sales - Partner Manager, Consumables"," Bachelor’s degree in Marketing, Business, Advertising, Consumer Psychology, or related field and 5 years' experience advertising sales, advertising, sales, or related field OR 8 years' experience advertising sales, advertising, sales, or related field. Brand advertising (for example, TV or video, sponsorship), media sales, customer acquisition and growth, search, mobile and online sales, Managing client accounts, Shopper marketing sales, eCommerce sales, retail advertising sales, search, Strategic Advisor working with C-Level ClientsMasters: Advertising, Masters: Business, Masters: Marketing, Masters: Psychology"
56,Marketing,Walmart,"(USA) Senior Manager I, Brand Management, Ecomm"," Bachelor’s degree in Business, Communications, Marketing, Business, or related field and 3 years’ experience in brand development andmanagement, developing creative briefs, marketing, or related area OR 5 years’ experience in brand development and management, developingcreative briefs, marketing, or related area. Leading a cross-functional team, Managing Vendor Contracts and Relationships, Working on multi-national teams, Working with advanced functionality of ExcelMasters: Business Administration"
57,Marketing,Walmart,"(USA) Senior Manager I, Advertising Sales -WMC"," Bachelor’s degree in Marketing, Business, Advertising, Consumer Psychology, or related field and 5 years' experience advertising sales, advertising, sales, or related field OR 8 years' experience advertising sales, advertising, sales, or related field. Brand advertising (for example, TV or video, sponsorship), media sales, customer acquisition and growth, search, mobile and online sales, Managing client accounts, Shopper marketing sales, eCommerce sales, retail advertising sales, search, Strategic Advisor working with C-Level ClientsMasters: Advertising, Masters: Business, Masters: Marketing, Masters: Psychology"
58,Marketing,Walmart,"Senior Manager I, Advertising Sales - Partner Manager, Consumables, Walmart Connect"," Bachelor’s degree in Marketing, Business, Advertising, Consumer Psychology, or related field and 5 years' experience advertising sales, advertising, sales, or related field OR 8 years' experience advertising sales, advertising, sales, or related field. Brand advertising (for example, TV or video, sponsorship), media sales, customer acquisition and growth, search, mobile and online sales, Managing client accounts, Shopper marketing sales, eCommerce sales, retail advertising sales, search, Strategic Advisor working with C-Level ClientsMasters: Advertising, Masters: Business, Masters: Marketing, Masters: Psychology"
59,Marketing,Walmart,"Partner Manager, Food (Senior Manager I, Advertising Sales)"," Bachelor’s degree in Marketing, Business, Advertising, Consumer Psychology, or related field and 5 years' experience advertising sales, advertising, sales, or related field OR 8 years' experience advertising sales, advertising, sales, or related field. Brand advertising (for example, TV or video, sponsorship), media sales, customer acquisition and growth, search, mobile and online sales, Managing client accounts, Shopper marketing sales, eCommerce sales, retail advertising sales, search, Strategic Advisor working with C-Level ClientsMasters: Advertising, Masters: Business, Masters: Marketing, Masters: Psychology"
60,Marketing,Walmart,"(USA) Director, Advertising Sales"," Bachelor’s degree in Marketing, Business, Advertising, Consumer Psychology, or related field and 7 years' experience advertising sales, advertising, sales, or related field OR 10 years' experience advertising sales, advertising, sales, or related field. Brand advertising (for example, TV or video, sponsorship), media sales, customer acquisition and growth, search, mobile and online sales, Managing high performing teams, Shopper marketing sales, eCommerce sales, retail advertising salesMasters: Advertising, Masters: Business, Masters: Marketing, Masters: Psychology"
61,Marketing,Walmart,"Senior Manager I, Advertising Sales - Partner Manager, Walmart Connect (Marketplace Team)"," Bachelor’s degree in Marketing, Business, Advertising, Consumer Psychology, or related field and 5 years' experience advertising sales, advertising, sales, or related field OR 8 years' experience advertising sales, advertising, sales, or related field. Brand advertising (for example, TV or video, sponsorship), media sales, customer acquisition and growth, search, mobile and online sales, Managing client accounts, Shopper marketing sales, eCommerce sales, retail advertising sales, search, Strategic Advisor working with C-Level ClientsMasters: Advertising, Masters: Business, Masters: Marketing, Masters: Psychology"
62,Marketing,Walmart,"Senior Manager I, Advertising Sales - Partner Manager, Walmart Connect - Consumables"," Bachelor’s degree in Marketing, Business, Advertising, Consumer Psychology, or related field and 5 years' experience advertising sales, advertising, sales, or related field OR 8 years' experience advertising sales, advertising, sales, or related field. Brand advertising (for example, TV or video, sponsorship), media sales, customer acquisition and growth, search, mobile and online sales, Managing client accounts, Shopper marketing sales, eCommerce sales, retail advertising sales, search, Strategic Advisor working with C-Level ClientsMasters: Advertising, Masters: Business, Masters: Marketing, Masters: Psychology"
63,Marketing,Walmart,"Senior Manager I, Advertising Sales - Partner Manager, Consumables Walmart Connect"," Bachelor’s degree in Marketing, Business, Advertising, Consumer Psychology, or related field and 5 years' experience advertising sales, advertising, sales, or related field OR 8 years' experience advertising sales, advertising, sales, or related field. Brand advertising (for example, TV or video, sponsorship), media sales, customer acquisition and growth, search, mobile and online sales, Managing client accounts, Shopper marketing sales, eCommerce sales, retail advertising sales, search, Strategic Advisor working with C-Level ClientsMasters: Advertising, Masters: Business, Masters: Marketing, Masters: Psychology"
64,Marketing,Walmart,Partner Manager - Sam's Club Member Access Platform [MAP]," Bachelor’s degree in Marketing, Business, Advertising, Consumer Psychology, or related field and 5 years' experience advertising sales, advertising, sales, or related field OR 8 years' experience advertising sales, advertising, sales, or related field. Brand advertising (for example, TV or video, sponsorship), media sales, customer acquisition and growth, search, mobile and online sales, Managing client accounts, Shopper marketing sales, eCommerce sales, retail advertising sales, search, Strategic Advisor working with C-Level ClientsMasters: Advertising, Masters: Business, Masters: Marketing, Masters: Psychology"
65,Marketing,Walmart,"(USA) Sales Strategy Lead, Media Partnerships Manager III , eComm"," Bachelor degree in business or related field Experience in related field, Leading teams"
66,Marketing,Walmart,"(USA) Media Partnerships Manager III , eComm: Senior Partner Development Manager, Supply - Walmart Connect"," Bachelor degree in business or related field Experience in related field, Leading teams"
67,Marketing,Walmart,Media Partnerships Manager II-API Partner Development Manager," Bachelor degree in business or related field Leading teams, Related area"
68,Marketing,Walmart,"(USA) Manager II, Creative, eComm",": Bachelor's degree in Design, Marketing, Creative Writing, Advertising, Fine Arts, or related field and 2 years' experience in interactive design, editorial content management, or related field OR 4 years' experience in interactive design, editorial content management, or related field. Content Management Systems, Digital Content Management, Editorial, Retail Management, Supervising Associates, Vendor Management"
69,Marketing,Walmart,"Senior Manager, Creative (Portfolio Arts & Heritage)","Bachelor’s degree in Design, Marketing, Creative Writing, Advertising, Fine Arts, or related field and 3 years' experience in editorial content management or related field OR 5 years' experience in editorial content management or related field. Digital Content Management, Editorial, Retail Management, Supervising Associates, WE-Working for or withCreative Agencies"
70,Marketing,Walmart,Digital Media Campaign Manager - WMC - Chicago,Bachelor degree in business or related field
71,Marketing,Walmart,"Content Strategist - Manager II, Creative, eComm",": Bachelor's degree in Design, Marketing, Creative Writing, Advertising, Fine Arts, or related field and 2 years' experience in interactive design, editorial content management, or related field OR 4 years' experience in interactive design, editorial content management, or related field. Content Management Systems, Digital Content Management, Editorial, Retail Management, Supervising Associates, Vendor Management"
72,Marketing,Walmart,"Digital Media Campaign Manager - WMC - Hoboken, NJ",Bachelor degree in business or related field
73,Marketing,Walmart,"Manager, Creative- Data Ventures","Bachelor’s degree in Design, Marketing, Creative Writing, Advertising, Fine Arts, or related field and 2 years' experience in interactive design, editorial content management, or related field OR 4 years' experience in interactive design, editorial content management, or related field. Content Management Systems, Digital Content Management, Editorial, Retail Management, Supervising Associates, Vendor Management, WE-Working for or withCreative Agencies"
74,Marketing,Walmart,"Lead Producer, Manager II, Creative, eComm",": Bachelor's degree in Design, Marketing, Creative Writing, Advertising, Fine Arts, or related field and 2 years' experience in interactive design, editorial content management, or related field OR 4 years' experience in interactive design, editorial content management, or related field. Content Management Systems, Digital Content Management, Editorial, Retail Management, Supervising Associates, Vendor Management"
75,Marketing,Walmart,Digital Media Campaign Manager - WMC - Los Angeles or San Bruno,Bachelor degree in business or related field
76,Marketing,Walmart,"Media Partnerships Director I- Director, Campaign Management"," Bachelor degree in business or related field Experience in related field, Leading large teams"
77,Marketing,Walmart,(USA) Media Partnerships Director I- Director of Account Management," Bachelor degree in business or related field Experience in related field, Leading large teams"
78,Marketing,Walmart,"Director, Creative - Enterprise Content"," Bachelor’s degree in Design, Marketing, Creative Writing, Advertising, Fine Arts, or related field and 7 years' experience leading creative teams OR 9 years' experience leading creative teams. Managing Brand Initiatives for Product Launches, Managing Budgets, Including Budget Forecasting and Reporting Financials, Managing cross-functional teams in a retail creative environment, Managing large scale interactive campaigns in an online creative or related digital field, Managing Vendor Contracts and Relationships, Working for or with creative agencies"
79,Marketing,Walmart,"Associate Manager, Creative - Production Manager","Bachelor’s degree in Design, Marketing, Creative Writing, Advertising, Fine Arts, or related field and 1 year's experience in interactive design,editorial content management, or related field OR 3 years' experience in interactive design, editorial content management, or related field. Content Management Systems, Creative Agencies, Managing interactive projects in an online creative or related digital field, Working with Design Software (For example, Adobe Creative Suite), including proficiency in advanced functions (For example, multi-layer masking and compositing)"
80,Marketing,Walmart,"Senior Director II, Creative - Head of Integrated Production"," Bachelor’s degree in Design, Marketing, Creative Writing, Advertising, Fine Arts, or related field and 8 years' experience leading creative teams OR 10 years’ experience leading creative teams.8 years' supervisory experience. Managing Brand Initiatives for Product Launches, Managing Budgets, Including Budget Forecasting and Reporting Financials, Managing cross-functional teams in a retail creative environment, Managing large scale interactive campaigns in an online creative or related digital field, Managing Vendor Contracts and Relationships, Working for or with creative agencies"
81,Marketing,Walmart,"Media Planner, Sam's Club MAP - Media Partnerships Specialist III, eComm",Bachelor degree in business or related field
82,Marketing,Walmart,(USA) TECHNICAL DESIGNER I - ECOMM; Associate Designer Sleepwear and Intimates,"Bachelor’s degree in Business, Textiles, Design, or related field and 1 years’ experience in technical design, product development, or related areaOR 3 years’ experience in technical design, product development, or related area. Apparel Manufacturing, Product Development, Working on cross-functional teams or projectsMasters: Business, Masters: Design"
83,Marketing,Walmart,Campaign Manager - Sam's Club MAP,Bachelor degree in business or related field
84,Marketing,Walmart,Senior Search Performance Manager: Media Partnerships Manager II - Sam's Club MAP," Bachelor degree in business or related field Leading teams, Related area"
85,Marketing,Walmart,Digital Media Account Manager - Sam's Club Member Access Platform [MAP],Bachelor degree in business or related field Related area
86,Marketing,Walmart,Digital Media Account Manager - Sam's Club MAP,Bachelor degree in business or related field Related area
87,Marketing,Walmart,Account Manager Lead (Media Partnerships Manager II - Walmart Connect))," Bachelor degree in business or related field Leading teams, Related area"
88,Marketing,Walmart,"Campaign Manager Lead (Media Partnerships Manager II, eComm - Walmart Connect)"," Bachelor degree in business or related field Leading teams, Related area"
89,Marketing,Walmart,"Media Partnerships Specialist III, eComm - Sam's Club MAP Campaign Manager",Bachelor degree in business or related field
90,Marketing,Walmart,Digital Media Account Manager Lead (Media Partnerships Manager II) - Advertising," Bachelor degree in business or related field Leading teams, Related area"
91,Marketing,Walmart,"Media Partnerships Specialist III, eComm - Sam's Club MAP Campaign Manager",Bachelor degree in business or related field Related area
92,Marketing,Walmart,"MEDIA PARTNERSHIPS MANAGER III , ECOMM- Agency Partnerships Manager"," Bachelor degree in business or related field Experience in related field, Leading teams"
