,job_title,job_link,job_desc
10,Internal Auditor,https://jobs.cisco.com/jobs/ProjectDetail/Internal-Auditor/1394327," You hold a Bachelor’s Degree (or equivalent) with 2+ years of relevant external and /or internal audit experience You are actively pursuing a relevant professional certification (CPA, CIA, CFE, etc.) or having one or more of the following: Certified Public Accountant, Certified Internal Auditor or Certified Fraud Examiner. While an MBA and Six Sigma Certification are preferred. Strengths in communications, both written and verbal, with the ability to work with both technical specialists and senior level management. Able to articulate technical issues to key partners in terms of business risk and effects on desired business outcomes. Delivery focused, willingness to perform all tasks required to complete the job, including administrative and documentation oriented tasks."
11,"Account Manager - US Commercial - Clayton, MO 1394329",https://jobs.cisco.com/jobs/ProjectDetail/Account-Manager-US-Commercial-Clayton-MO-1394329/1394329," 5+ years of experience in prospecting, replacing an incumbent, and protecting the Cisco installed base. Excellent track rack record of success leading a large territory, demand generation, partner development, strategic account planning, forecasting, quota attainment, communicating business transformational solutions via sales presentations, short-term, mid-term, and long-term opportunity management. You have the ability to deliver business value to both End Users and Partners. Strong technical and business knowledge with complimentary skills to understand the customers’ business drivers and align to Cisco solution. You demonstrate the necessary skills to negotiate issues with peers, partners and customers using a Win/Win philosophy. You're a bold self-starter with ability articulate Cisco product and business strategies, and create the demand to complete the deal. Experience selling Unified Communications and/or Data Center/Virtualization/Servers Solutions and/or knowledge of the business partner community/customer base preferred."
12,"Cisco Meraki - Product Manager, MX Platforms",https://jobs.cisco.com/jobs/ProjectDetail/Cisco-Meraki-Product-Manager-MX-Platforms/1394351," Ownership of key branches of the MX product portfolio when it comes to hardware platforms, strategy, and execution of future product offerings from Meraki Full ownership of product lifecycle including new product development, EOL, and sustainable support of existing products in the portfolio Market and customer analysis, requirements development, business case, collateral, product strategy, and product positioning Source of knowledge in your field of expertise, including trends and technologies The trusted advisor to your engineering team, teaching them how key use cases are driven by customers, where they struggle, what matters to them, and so on. 4+ yrs of demonstrated ability as a Product Manager in software, hardware, embedded, networking, cloud technologies, or products space with a proven track record of success. Entrepreneurship, ""can do"" attitude, ability, desire, and willingness to make an impact. Solid understanding of software/hardware development processes. Excellent interpersonal, written, and verbal communication skills Bachelor or higher degree in a related technical field (Electrical, Electronics Engineering/Computer Science) or equivalent experience in Program Management, hardware, and/or software engineering MBA is a plus Proficient in Agile and Waterfall Project Management processes. Should be able to deal well with rapid changes, and feel comfortable navigating uncertain/ambiguous situations."
13,Security Engineer (DnR),https://jobs.cisco.com/jobs/ProjectDetail/Security-Engineer-DnR/1394093," Serve on a rotation of security incident commanders, work with heads of every major product team to ensure a quick mobilization for high-severity incidents Build our detection stack, including: Security Incident and Event Monitoring (SIEM) File Integrity Monitoring (FIM) Vulnerability Scanners Network and Host Intrusion Detection (IDS) Leverage and extend existing monitoring and tooling to ensure we quickly detect anomalous behavior in our infrastructure Augment our infrastructure with audit trails to ensure that we can understand the impact of security incidents Perform forensics when security incidents occur Work with other engineers to proactively add monitoring to new features and services Have experience working on incident response teams Have a calm methodical approach to investigating potential threats under pressure Have 2+ years of experience in web, database, information and/or infrastructure security Have some scripting or security tools development knowledge Know and love learning about the latest security tools, infrastructure, and industry standard methodologies Familiarity with search/analytics platforms such as ELK, SQL, Splunk Enjoy working across and being a resource for other engineers Are excited to champion security as a first-class concern Comprehensive knowledge of detection tools, for example: Nessus, Qualys, OSSEC, Osquery, Suricata, Threatstack, AWS Guard Duty Know and recognize common vulnerability types, including SQL/command injection, XSS, CSRF, and SSRF Experience with IoT platforms, large-scale distributed systems, and/or client-server architectures Demonstrable ability to ship in a dynamic environment"
14,Vulnerability Management Engineer,https://jobs.cisco.com/jobs/ProjectDetail/Vulnerability-Management-Engineer/1394088," Review vulnerability scan reports Assess vulnerability severity Triage vulnerability tickets (assigning to appropriate teams) Shepherd vulnerability tickets through to completion/mitigation. Collaborate with other members of the vulnerability management program Are familiar with common Security vulnerabilities (OWASP Top 10, CWE Top 25) Have experience using Jira Can effectively drive the mitigation of security issues with other busy teams Are knowledgeable of different operating systems (Linux, Windows, MacOS) Are knowledgeable of/have experience with software development (i.e. Python, Ruby, etc).  Are excited to champion security as a first-class concern Have experience in web, database, information, and/or infrastructure security Have experience with containers (Docker and Kubernetes) Have experience developing in a hybrid environment utilizing AWS or other cloud providers Proven track record to ship in a dynamic environment"
15,Technical Consulting Engineer- 1394108,https://jobs.cisco.com/jobs/ProjectDetail/Technical-Consulting-Engineer-1394108/1394108," Provide technical support on a worldwide basis via phone, email, web and remote access for Architecture focus area. Effectively utilizes databases of existing issues, debugging tools and simple or moderate lab simulations to analyze problems and determine solutions with a high level of customer satisfaction. Shares knowledge to build relationships, and effectively troubleshoots problems both alone and as part of a team. Reverse engineering analysis, identification and documentation for unexpected behaviors in Cisco devices running IOS, IOS-XE and NX-OS. Interaction and collaboration with other TAC Technology teams. CCNA or equivalent level of demonstrated networking knowledge. Understanding of Overall Computer Architecture. C Debugging and data structures knowledge. Netconf, Restconf, Yang, GNMI basic/intermediate knowledge. Understanding of Virtualization Technologies (ESXi, KVM, Docker, etc). Knowledge of WireShark and able to analyze traffic flows to properly root cause network and/or application issue. Linux/Unix file system knowledge. Commitment and ability to resolve sophisticated technical problems, multitask, and be dedicated to customer success. English fluency. Excellent verbal and written communication skills. Crisis management skills and ability to handle critical customer issues. 2+ years of experience in technical support, computer networking-related problem solving, critical thinking, and troubleshooting, interacting with customers, partners and account teams. Proactivity to investigate new technologies, new issues and develop initiatives to impact daily basis tasks. Ability to clearly and concisely articulate both technical and non-technical concepts. Excellent time management, follow-through, and attention to detail. Outstanding customer service skills. CCNP R&S certification or equivalent. Solid understanding in Virtualization Technologies deployment and troubleshooting. Proficient in one or more Programming languages (Python, C, C++). Proficient in one or more Public Clouds (GCP, AWS, Azure). Troubleshooting experience with Operating Systems such as IOS, IOS-XE or NXOS. Bachelor of IT Degree or similar."
16,Software Engineer,https://jobs.cisco.com/jobs/ProjectDetail/Software-Engineer/1394029," Bachelor’s degree in computer science, a related field, or relevant work experience. Intermediate understanding in areas of Computer Science such as Algorithms, Data Structures, Object Oriented Design, Databases. Experience with distributed systems. Sound knowledge of Cloud technologies and DevOps. Possesses a deep understanding of secure computing practices. Demonstrable experience in asynchronous web programming with experience in Angular, jQuery, JavaScript, TypeScript, CSS, Html. 5+ years of software development using programming languages such as Java or Python Experience with SpringBoot/Flask, RESTful APIs, JSON etc. Experience with SQL/No-SQL database technologies – Oracle, MongoDB, MySQL, PostgreSQL, etc. Proficient with Unit/Functional test automation. Experience working with logs, call stacks, etc. while debugging applications"
17,"Engineering Manager, Switching Platform (MS)",https://jobs.cisco.com/jobs/ProjectDetail/Engineering-Manager-Switching-Platform-MS/1394040," 4+ years of technical leadership experience in embedded networking platform development 3+ years experience managing teams who have shipped and supported embedded routing platforms Extensive board bring-up experience including but not limited to ARM and x86 Good understanding of hardware architecture and schematics Experience in coordinating and working with cross-functional teams, such as hardware, diagnostic and third-party vendors to ensure smooth operation and ship on time Experience with modern C++ (C++11 and further) Experience with an Agile methodology (e.g., Scrum, Kanban) Experience with networking platform development"
18,"Software Engineering Manager, Fullstack",https://jobs.cisco.com/jobs/ProjectDetail/Software-Engineering-Manager-Fullstack/1393629," Developing career growth plans with your team members, through regular one-on-ones, ongoing coaching and mentoring, and conversations about individual values. Connecting each team member with the Meraki career ladder and helping them define action items. Identifying leadership opportunities for individual contributors and enabling engineers interested in transitioning to management roles. Building trust among your team and fostering an environment where your team will thrive. Creating (sometimes silly) team rituals, like a team cheer. Working closely with Product Management and UX Design to plan and design impactful yet simple features. Developing a strategy and product roadmap that balances customer needs and business goals. Making prioritization decisions when plans change and clearly communicating tradeoffs. Planning and tracking timelines for your team’s projects. Removing blockers when they arise. Encouraging others to commit clean, well-tested code. Supporting your team when requirements and timelines change. Working with senior engineers on your team to figure out the best way to build systems and features. Growing these systems to perform at scale and enable all customers to use Meraki products with ease. Devising creative approaches to non-technical problems. Collaborating with other leaders to find workarounds and alternate solutions to time critical issues.  Working with Recruiting to build and grow teams. Analyzing future projects to determine required skills and constructing interview loops to assess these skills.  Improving cross-team processes to improve the developer experience. Taking initiative to identify gaps, collect research, propose improvements, build consensus, and complete ideas. Measuring success and iterating based on feedback. Are interested in a leadership role because it allows you to work closely with others to help them achieve their best. You have led teams of more than three people and are looking for an opportunity to explore a new domain while nurturing the continued growth of a team. Have 5+ years of experience building systems that maintain a balance between time to market, usability, and technical architecture Have 3+ years of hands-on management experience Are adaptable and versatile, but also understand the business necessity of schedules, estimates, and deadlines. Have experience with modern web frameworks like Ruby on Rails or Django and backend systems like time series databases Product/project management skills and an understanding of how to balance product requests and deadlines against internal priorities Mentoring individuals at different stages of their careers Collaborating closely with Product Management or UX Design teams Experience with building performant web applications and leveraging data pagination or caching Networking technologies Large scale program management"
19,Oracle Database Administrator (DBA),https://jobs.cisco.com/jobs/ProjectDetail/Oracle-Database-Administrator-DBA/1394031," B.S in computer Science (or equivalent) with 8+ years strong DBA experience in supporting ERP, core database and fusion middleware technologies WebLogic, Apache and middleware components with expertise in managing Oracle FMW/BPEL/SOA. Proficiency in Oracle versions 12c, 19c and Oracle Enterprise Manager Experience with high availability (RAC), standby (Data Guard), and backup and recovery (RMAN) Install and configure/upgrade Observer to monitor high availability between Oracle Data guard sites. Ability to perform Oracle, Application, FMW patches and upgrade along with backup and restoration Experience tuning SQL and PL/SQL using AWR, ASH. EBS Integration with Identity Access Management, Excellent knowledge and understanding of LDAP and data base concept, with good exposure to SQL Installation, configuration of Oracle Enterprise Manager, Management server, ability to tackle configuration issues, agent deployment, write custom software for Metrics Extensions. Good to have Unix Shell scripting, Python and automation experience. Excellent troubleshooting skills and ability to resolve issues quickly and optimally Ability to work in a fast pace environment, good multi-tasking and time management skill Experience in systems monitoring to ensure 24-7 availability of DBs & apps. Provide day-to-day support of multiple production & non-production environments Troubleshoot issues & DB & Application side performance tuning. Perform Database & app. cloning, installation, configuration, patching, upgrades on Cisco UCS/Linux. Software Development experience a plus namely Python, Java, Angular, Shell scripting Superb communication skills within groups and teams"
20,Senior Application Security Engineer,https://jobs.cisco.com/jobs/ProjectDetail/Senior-Application-Security-Engineer/1394019," Perform white-box penetration testing, design and code reviews of our product offerings. Write code to integrate security services into our CI/CD pipelines Lead security assessments and application penetration tests Work with engineers and leaders to help prioritize and remediate vulnerabilities Collaborate with software engineers across product teams to refine the security of our cloud technologies and deployment practices Can read and write code in Ruby or Python and enjoy learning new programming languages  Thrive in finding and helping address security problems such as authentication, authorization and cryptography  Feel comfortable using Linux  Experience with enterprise cloud solutions and serverless applications A BS/MS/Ph.D in Computer Science, Computer Engineering, Information Security, Security Engineering, or a STEM field Experience using source-level debuggers, hardware/JTAG debuggers, network protocol analyzers, or logic analyzers to diagnose problems at all layers of the system"
21,Senior Systems Software Engineer- MS,https://jobs.cisco.com/jobs/ProjectDetail/Senior-Systems-Software-Engineer-MS/1393631," Superb presentation and technical writing skills Organized approach to design, development and quality assurance 7+ years of experience in a production software engineering environment C / C++ Ruby / Python Network fundamentals Object-oriented paradigm System design and Architecture Concurrent programming & IPC/RPC mechanisms Containers Troubleshooting problems in a Linux environment OS fundamentals in kernel and user-space Data plane management (L2 and L3) L1 management (PHY speed, duplex) L2 management (Spanning trees, Link Aggregation, VLANs) QoS Storm Control Routing (Static, OSPF, IPv6, BGP, Fabric, ECMP) End-point address management (DHCP, SLAAC) Warm Spare (VRRP) Click packet processing Yocto, OpenWRT, Gerrit, GIT"
22,Senior Information Security Engineer,https://jobs.cisco.com/jobs/ProjectDetail/Senior-Information-Security-Engineer/1394037,"  Assist and influence management in the development, evolution, and execution of security risk strategies.
   Take the lead in the creation effort of the Information Security Risk Program by crafting a Security Risk Assessment methodology, policy, strategy, and process.
   Proactively work with local and remote Security teams and business owners to define the risk roadmap and program direction. Communicate and advocate for security enhancements and continuous improvements.
   Lead gap and risk assessments to identify and document significant information security risks associated with all aspects of Meraki systems, data, and infrastructure.
   Partner with Engineering leadership on the development, and review of IT initiatives and Security controls to identify operational efficiency.
   Lead remediation efforts and document completion status of deficiencies.
   Advance GRC and other Security tools to collect, maintain and share security risk information with senior leadership.
   Serve as a project lead by providing professional and expert-level security consulting services to business owners and partners.
   Maintain broad knowledge of standard methodologies and trends in the field of Information Security and other technologies relevant to systems operated by the Operations teams.
   Find opportunities for collaboration, inclusion, and alignment across the security program.
   Act as a mentor and train other security analysts.
   Extensive experience implementing and assessing security in a cloud-hosted environment.
   High-level of knowledge of security technologies, information systems, and risk assessment methodologies.
   Desire to learn new and evolving technologies in a fast-paced environment.
   The ideal candidate will have at least 8+ years of working within the technical arena with 5+ years of information security work experience.
   Technical background in IT systems and networking in Cloud environments.
   Experience analyzing vulnerability assessment reports and data and writing risk mitigation plans according to the assessment.
   Must have the ability to lead and collaborate with technical and non-technical teams to further the goals and mission of the Security Risk and Compliance team
   Excellent written and oral communication skills, as well as interpersonal skills including the ability to articulate to both technical and non-technical audiences.
   Experience in security standards such as ISO 27001, 27002, 27005; NIST, COBIT, ITIL, PCI
 "
23,"Tech Lead, DevOps",https://jobs.cisco.com/jobs/ProjectDetail/Tech-Lead-DevOps/1393618," You are passionate about developing cloud-native solutions. You have strong programming skills and love both building and running applications. You are a natural problem-solver and trouble-shooter. You have the ability to think creatively and are self-motivated. You love working together as a team and have the desire to speak up, share ideas, and help members of the team. You get excited to experiment with the latest technologies You love introducing the team to new technologies, frameworks, and"
24,Site Reliability Engineer,https://jobs.cisco.com/jobs/ProjectDetail/Site-Reliability-Engineer/1394030," Collaborate with other core services team members to define a roadmap, write clear user stories with well-defined acceptance criteria, design, and build solutions. Develop and deliver automation software required for building & improving the functionality, reliability, availability, and manageability of applications and cloud platforms. Design, architect, and build self-service, self-healing, synthetic monitoring and alerting platform and tools. Automate the development and deployment of infrastructure using Docker, Kubernetes, and other orchestration technologies in a hybrid-cloud environment. Champion and drive the adoption of Infrastructure as Code (IaC) practices and mindset. Identifying performance bottlenecks, identifying anomalous system behavior, and determining the root cause of incidents. Engage in capacity planning and demand forecasting and scaling the environment. Managing seamless upgrades of infrastructure and services through automation. Bachelor’s degree in Computer Science, Computer Engineering, a related field, or relevant equivalent work experience. Experience with running multi-cluster environments and strong understanding of multi-tenancy and security implications Software programming experience in Python, Golang, or Java. Previous experience in supporting large-scale production environments. Knowledge of continuous integration (CI) and continuous development (CD) pipelines. Deep understanding of Kubernetes fundamentals, including scaling for production workloads. 7+ years of solid hands-on experience building, maintaining, and scaling PaaS and container-hosting platform. A proven track record with Docker containers with a deep understanding of the current container ecosystem. Proven experience with running containers (Docker/LXC) in a production environment (Kubernetes, Docker Swarm, Rancher, Mesos). Ability to analyze and debug complex software and infrastructure issues and develop tools/systems for task automation. Experience with build automation and configuration management systems (e.g., Jenkins, Ansible). Expert skills with Linux (network, OS, process level), networking (network layers, DNS, load balancing), storage, and virtualization."
25,Senior Data Science Manager,https://jobs.cisco.com/jobs/ProjectDetail/Senior-Data-Science-Manager/1394018," Engage with Product and Engineering leaders to identify and deliver customer centric strategic analysis to find opportunities and support key Application domain product and business initiatives beyond the scope of supporting reactive requests. Lead development of ML solutions collaborating with the Data Science Infrastructure team through every stage of ML workflow including data ingestion, model building, and model ops. Collaborate actively with Product Management, Engineering and UX to measure the impact of product launches, including validating behavior tracking, defining success metrics, aligning on experimental approaches and communicating metrics impact Work with partners across organizations to improve data infrastructure, enrich dataset and improve data quality to support ML solutions at scale Manager and guide a team of Data Analysts and Data Scientists and provide guidance on technical models and analyses produced by the team. 8+ years of Data Science experience for software products, e.g. networking software, online shopping, social site, streaming services, gaming, etc. Minimum of 2+ years of experience of building and retaining a high-performance and diverse Data Science team in a formal capacity Masters/PhD in Statistics, Operation Research, Applied Mathematics, Economics, Computer Science, or a quantitative field preferred. Demonstrated leadership across managing high visibility projects and solve problems quickly with minimal oversight Outstanding problem solving, technical and data science skills Strong written and oral presentation skills and able to communicate sophisticated concepts to various audience Attention to details and balance operation and strategic perspective of running data science organization Proficiency with Excel, SQL, Statistical modeling, web analytics tool, and Python (or R) 2+ years of experience in Networking Product domain 2+ years of experience lead technical decisions and design discussions"
26,"Software Engineering Manager, Fullstack",https://jobs.cisco.com/jobs/ProjectDetail/Software-Engineering-Manager-Fullstack/1393630," Providing secure, up-to-date containers for Ruby-based services, including Dashboard Modernizing Ruby and Rails Guiding teams on best practices to simplify upgrading Ruby and Rails Modernizing internal service frameworks Automating as much of that as possible Holding regular one-on-ones with your team, ongoing coaching, mentorship, career conversations, and compensation planning. Planning and tracking timelines for your team, ensuring efficient execution, and addressing relevant partners when things change. Working with our recruiters on targeted hiring efforts. Working with senior engineers on your team to figure out the best path toward modernizing our platform. Are interested in a leadership role because it allows you to work closely with others to help them achieve their best. You have led teams of more than three people and are looking for an opportunity to explore a new domain while nurturing the continued growth of a team. Have demonstrated ability building systems that maintain a balance between time to market, usability, and technical architecture Have a track record of technical leadership and a desire to explore management  Are adaptable and versatile, but also understand the business necessity of schedules and estimates. Have experience with Ruby on Rails Product/project management skills and an understanding of how to balance product requests against internal priorities Mentoring individuals at different stages of their career Networking technologies Experience upgrading platforms while full scale development continues"
